Customer,Claim Amount ,Coverage,Education,Employment Status,Gender,Annual Income ($),Location Category,Marital Status,Age,Monthly Premium,Months Since Last Claim,Vehicle Size,Reported to Police?,Witness Details provided?,Weekend?,Car driveable?,"Fraud Detected? Yes=1, No=0"
BU79786,"2,764",Basic,Bachelor,Employed,F,56274,Suburban,Married,59,43,32,Medsize,n,y,n,y,0
QZ44356,"6,980",Extended,Bachelor,Unemployed,F,0,Suburban,Single,29,96,13,Medsize,y,y,n,y,0
AI49188,"12,887",Premium,Bachelor,Employed,F,48767,Suburban,Married,42,108,18,Medsize,n,y,n,y,0
WW63253,"7,646",Basic,Bachelor,Unemployed,M,0,Suburban,Married,36,116,18,Medsize,y,y,n,y,0
HB64268,"2,814",Basic,Bachelor,Employed,M,43836,Rural,Single,23,83,12,Medsize,n,y,y,y,0
OC83172,"8,256",Basic,Bachelor,Employed,F,62902,Rural,Married,33,79,14,Medsize,n,y,n,y,0
XZ87318,"5,381",Basic,College,Employed,F,55350,Suburban,Married,17,107,0,Medsize,n,n,y,y,1
CF85061,"7,216",Premium,Master,Unemployed,M,0,Urban,Single,26,133,0,Medsize,n,n,n,y,1
DY87989,"24,128",Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,37,79,13,Medsize,n,y,n,y,0
BQ94931,"7,388",Extended,College,Employed,F,28812,Urban,Married,25,111,17,Medsize,n,y,n,y,0
SX51350,"4,739",Basic,College,Unemployed,M,0,Suburban,Single,40,65,23,Small,n,y,n,y,0
VQ65197,"8,197",Basic,College,Unemployed,F,0,Suburban,Married,42,106,27,Medsize,n,y,n,n,0
DP39365,"8,799",Premium,Master,Employed,M,77026,Urban,Married,30,140,9,Medsize,y,y,n,y,0
SJ95423,"8,819",Basic,High School or Below,Employed,M,99845,Suburban,Married,37,102,23,Medsize,n,n,n,y,0
IL66569,"5,384",Basic,College,Employed,M,83689,Urban,Single,41,72,21,Medsize,n,y,n,y,0
BW63560,"7,463",Basic,Bachelor,Employed,F,24599,Rural,Married,33,102,12,Medsize,n,y,n,y,0
FV94802,"2,567",Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,34,95,14,Medsize,n,y,n,y,0
OE15005,"3,945",Basic,College,Medical Leave,M,28855,Suburban,Married,27,109,12,Medsize,n,y,n,y,0
WC83389,"5,710",Basic,College,Employed,M,51148,Urban,Married,22,86,9,Medsize,n,y,n,y,0
